FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2010,4,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Moldova,Moldova,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $12,861.56 ",12861.56,12861.56
2010,4,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Georgia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $27,764.20 ",27764.2,27764.2
2010,4,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Nicaragua,Humanitarian Assistance,Disaster Readiness," $50,000.00 ",50000,50000
2010,3,Disbsmnt.,Development Assistance,usaid,Sri Lanka,Sri Lanka,Peace and Security,Stabilization Operations and Security Sector Reform," $133,855.00 ",133855,133855
2010,2,Obgl.,Child Survival and Health Programs Fund,U.S.A.I.D,India,India,Health,Maternal and Child Health," $(10,959.50)",-10959.5,-10959.5
2012,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Dominican Republic,Dominican Republic,Health,Family Planning and Reproductive Health, $701.51 ,701.51,701.51
2012,4,Obligations,Development Assistance,usaid,Uganda,Uganda,Econ. Dev.,Agriculture," $28,950,000.00 ",28950000,28950000
2013,3,Disbursements,Transition Initiatives,usaid,Mali,Mali,Program Management,Direct Administrative Costs," $106,110.92 ",106110.92,106110.92
2013,3,Disbursements,Development Fund for Africa,usaid,South Africa,South Africa,Program Management,Direct Administrative Costs," $17,432.96 ",17432.96,17432.96
2011,4,Obligations,Development Assistance,usaid,Nicaragua,Nicaragua,Economic Development,Trade and Investment," $1,266,600.00 ",1266600,1266600
2013,3,Disbursements,N/A,U.S.A.I.D,India,India,Health,Other Public Health Threats," $650,000.00 ",650000,650000
2012,4,Disbursements,Development Assistance,usaid,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation," $121,105.65 ",121105.65,121105.65
2009,4,Disbursements,International Disaster Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Ethiopia,Program Management,Direct Administrative Costs," $228,689.68 ",228689.68,228689.68
2010,4,Obgl.,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs," $4,157,159.57 ",4157159.57,4157159.57
2010,1,Obgl.,N/A, MCC ,Mongolia,Mongolia,Education and Social Services,Social Assistance," $(225,000.00)",-225000,-225000
2013,4,Disbursements,N/A,usaid,Angola,Angola,Program Management,Direct Administrative Costs," $187,630.70 ",187630.7,187630.7
2011,4,Obligations,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,DRG,Political Competition and Consensus-Building," $2,600,000.00 ",2600000,2600000
2010,4,Disbsmnt.,Development Assistance,usaid,Ghana,Ghana,Education and Social Services,Basic Education," $1,778,703.62 ",1778703.62,1778703.62
2012,,Obligations,N/A,USADF,Cape Verde,Cape Verde,,Monitoring and Evaluation," $247,236.00 ",247236,247236
2014,2,Disbursements,International Disaster Assistance,usaid,Indonesia,Indonesia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $159,600.58 ",159600.58,159600.58
2010,4,Obgl.,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Worldwide,Peace and Security,Transnational Crime," $35,000.00 ",35000,35000
2012,2,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Burkina Faso,Humanitarian Assistance,"Protection, Assistance and Solutions"," $480,367.32 ",480367.32,480367.32
2010,2,Disbsmnt.,Development Assistance,usaid,Ethiopia,Ethiopia,Education and Social Services,Basic Education," $3,211,364.88 ",3211364.88,3211364.88
2009,1,Disbursements,Special Assistance Initiatives, USAID ,Albania,Albania,Program Management,Direct Administrative Costs," $11,470.26 ",11470.26,11470.26
2013,1,Obligations,Global Health & Child Survival,U.S.A.I.D,Worldwide,Worldwide,Health,Tuberculosis," $55,243.79 ",55243.79,55243.79
2013,3,Obligations,International Disaster Assistance,usaid,China,China,Humanitarian Assistance,Disaster Readiness," $1,000,000.00 ",1000000,1000000
2012,1,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Turkmenistan,Turkmenistan,Program Management,Monitoring and Evaluation," $50,000.00 ",50000,50000
2011,1,Obligations,Global Health & Child Survival,U.S.A.I.D,India,India,Health,Maternal and Child Health," $1,000,000.00 ",1000000,1000000
2010,3,Disbsmnt.,Global Health & Child Survival,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Monitoring and Evaluation," $106,659.27 ",106659.27,106659.27
2010,3,Disbsmnt.,Millennium Challenge Corporation,usaid,Kyrgyz Republic,Kosovo,Program Management,Monitoring and Evaluation," $8,304.81 ",8304.81,8304.81
2012,,Disbursements,N/A,IAF,Colombia,Colombia,,Social Services," $632,068.00 ",632068,632068
2013,1,Disbursements,Economic Support Fund,U.S.A.I.D,Worldwide,Worldwide,Health,Family Planning and Reproductive Health, $169.90 ,169.9,169.9
2010,3,Obgl.,N/A, MCC ,Ghana,Ghana,Economic Development,Financial Sector," $(264,913.00)",-264913,-264913
2012,2,Disbursements,Development Assistance,usaid,Angola,Angola,Econ. Dev.,Economic Opportunity," $(194,535.96)",-194535.96,-194535.96
2011,4,Disbursements,Development Assistance,usaid,Ethiopia,Ethiopia,Economic Development,Private Sector Competitiveness," $2,503,743.62 ",2503743.62,2503743.62
2011,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Uzbekistan,Uzbekistan,Health,Tuberculosis," $127,891.06 ",127891.06,127891.06
2010,2,Obgl.,"Assistance for Europe, Eurasia and Central Asia",usaid,Bosnia and Herzegovina,Bosnia and Herzegovina,"Democracy, Human Rights, and Governance",Civil Society," $300,000.00 ",300000,300000
2014,2,Disbursements,Transition Initiatives,usaid,Libya,Libya,Program Management,Monitoring and Evaluation," $2,180.00 ",2180,2180
2014,2,Disbursements,N/A,usaid,Morocco,Morocco,Economic Development,Trade and Investment," $136,317.32 ",136317.32,136317.32
2012,4,Obligations,Development Assistance,usaid,Philippines,Marshall Islands,Program Management,Direct Administrative Costs," $35,000.00 ",35000,35000
2010,4,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Ukraine,Ukraine,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $9,918,000.00 ",9918000,9918000
2009,1,Disbursements,Development Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education and Social Services,Social Services," $445,582.55 ",445582.55,445582.55
2010,1,Obgl.,Operating Expenses,usaid,Ukraine,Worldwide,Program Management,Direct Administrative Costs," $861,597.68 ",861597.6800000001,861597.6800000001
2013,4,Obligations,Transition Initiatives,usaid,Kenya,Kenya,Program Management,Direct Administrative Costs," $351,733.71 ",351733.71,351733.71
2013,2,Disbursements,N/A,usaid,Mexico,Mexico,Program Management,Direct Administrative Costs," $153,793.05 ",153793.05,153793.05
2010,2,Disbsmnt.,Development Assistance,usaid,USAID Southern Africa Regional,South Africa Region,Economic Development,Financial Sector," $262,115.35 ",262115.35,262115.35
2013,4,Obligations,Economic Support Fund,usaid,Ukraine,Ukraine,Education and Social Services,Social Assistance," $83,952.00 ",83952,83952
2013,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,South Sudan,South Sudan,Health,Malaria," $598,142.70 ",598142.7,598142.7
2010,1,Obgl.,N/A,PEACE CORPS,Senegal,Senegal,,Environment - General," $1,548,110.95 ",1548110.95,1548110.95
2009,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Tajikistan,Tajikistan,Health,HIV/AIDS," $237,477.94 ",237477.94,237477.94
2010,2,Disbsmnt.,Global Health & Child Survival,usaid,Laos,Laos,Program Management,Monitoring and Evaluation," $7,794.00 ",7794,7794
2011,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Turkmenistan,Turkmenistan,DRG,Civil Society, $19.00 ,19,19
2010,4,Obgl.,Operating Expenses,usaid,USAID Regional Development Mission-Asia,Worldwide,Program Management,Direct Administrative Costs," $5,504,165.60 ",5504165.6,5504165.6
2013,4,Disbursements,N/A,usaid,Armenia,Armenia,Economic Development,Infrastructure," $505,974.64 ",505974.64,505974.64
2012,4,Obligations,Economic Support Fund,usaid,Mauritania,Mauritania,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $500,000.00 ",500000,500000
2013,2,Obligations,International Disaster Assistance,usaid,East Asia Region,East Asia Region,Humanitarian Assistance,Disaster Readiness," $699,969.00 ",699969,699969
2007,3,Disbursements,N/A, MCC ,Mali,Mali,Program Management,Direct Administrative Costs," $177,291.16 ",177291.16,177291.16
2011,1,Disbursements,Operating Expenses,usaid,USAID Inspector General Operating Expense,Worldwide,Program Management,Direct Administrative Costs," $8,267,121.25 ",8267121.25,8267121.25
2011,4,Obligations,Democracy Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Morocco,DRG,Political Competition and Consensus-Building," $950,000.00 ",950000,950000
2012,,Obligations,N/A,IAF,Mexico,Mexico,,Natural Resources and Biodiversity," $953,212.00 ",953212,953212
2012,2,Disbursements,Development Assistance,usaid,Ecuador,Ecuador,Peace and Security,Transnational Crime," $33,366.00 ",33366,33366
2007,3,Disbursements,N/A, MCC ,Senegal,Senegal,multi-sector,Multi-Sector - Unspecified," $27,779.12 ",27779.12,27779.12
2012,2,Disbursements,Development Assistance,usaid,Burundi,Burundi,Econ. Dev.,Trade and Investment," $599,000.00 ",599000,599000
2009,4,Disbursements,Development Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Angola,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $9,600.00 ",9600,9600
2013,3,Obligations,Global HIV/AIDS Initiative,U.S.A.I.D,Uganda,Uganda,Health,HIV/AIDS," $(32,526.21)",-32526.21,-32526.21
2013,3,Disbursements,N/A,usaid,Guatemala,Guatemala,ENVIRONMENT,Natural Resources and Biodiversity," $488,683.80 ",488683.8,488683.8
2009,3,Disbursements,Development Assistance, USAID ,Djibouti,Djibouti,Education and Social Services,Basic Education," $623,924.14 ",623924.14,623924.14
2012,3,Disbursements,N/A, MCC ,Jordan,Jordan,multi-sector,Multi-Sector - Unspecified," $753,090.18 ",753090.1800000001,753090.1800000001
2013,3,Disbursements,N/A,U.S.A.I.D,Kenya,Kenya,Health,Other Public Health Threats," $54,931.24 ",54931.24,54931.24
2011,1,Obligations,N/A,PEACE CORPS,Mexico,Mexico,,Environment - General," $693,849.87 ",693849.87,693849.87
2012,1,Disbursements,Development Assistance,usaid,Togo,Togo,Education and Social Services,Social Assistance," $25,031.36 ",25031.36,25031.36
2013,,Disbursements,N/A,USADF,Uganda,Uganda,,Social Services," $76,373.86 ",76373.86,76373.86
2012,4,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa Region,Program Management,Direct Administrative Costs," $6,448.00 ",6448,6448
2012,,Disbursements,N/A,IAF,Argentina,Argentina,,Natural Resources and Biodiversity," $33,750.00 ",33750,33750
2011,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Cambodia,Cambodia,Health,Family Planning and Reproductive Health," $1,682,954.44 ",1682954.44,1682954.44
2013,4,Disbursements,N/A,usaid,South Africa,South Africa,Program Management,Direct Administrative Costs," $484,501.77 ",484501.77,484501.77
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Ukraine,ENVIRONMENT,Natural Resources and Biodiversity," $100,000.00 ",100000,100000
2012,1,Obligations,Global Health & Child Survival,U.S.A.I.D,Namibia,Namibia,Health,HIV/AIDS," $(1,106,724.51)",-1106724.51,-1106724.51
2009,4,Obligations,International Disaster Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Burkina Faso,Humanitarian Assistance,"Protection, Assistance and Solutions"," $3,174,459.00 ",3174459,3174459
2013,4,Obligations,International Disaster Assistance,usaid,Chad,Chad,Humanitarian Assistance,Disaster Readiness," $819,178.00 ",819178,819178
2009,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Madagascar,Madagascar,Health,Maternal and Child Health," $79,824.63 ",79824.63000000001,79824.63000000001
2011,2,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Bosnia and Herzegovina,Humanitarian Assistance,"Protection, Assistance and Solutions"," $47,621.82 ",47621.82,47621.82
2013,2,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,Nigeria,Nigeria,Health,Malaria," $1,092.07 ",1092.07,1092.07
2013,4,Disbursements,N/A,usaid,Mexico,Mexico,Education and Social Services,Higher Education," $212,796.40 ",212796.4,212796.4
2010,2,Obgl.,Development Assistance,usaid,Philippines,Philippines,Economic Development,Agriculture," $(12,530.05)",-12530.05,-12530.05
2012,4,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Monitoring and Evaluation," $412,886.11 ",412886.11,412886.11
2010,4,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Joint Eurasia Regional,Eurasia Region,Program Management,Monitoring and Evaluation," $147,615.53 ",147615.53,147615.53
2012,3,Obligations,Development Assistance,usaid,Sierra Leone,Sierra Leone,Education and Social Services,Social Assistance," $3,399.00 ",3399,3399
2012,,Disbursements,N/A,IAF,Guatemala,Guatemala,,Private Sector Competitiveness," $110,000.00 ",110000,110000
2013,2,Obligations,Economic Support Fund,usaid,Nepal,Nepal,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $6,364,000.00 ",6364000,6364000
2010,4,Obgl.,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eastern European Region,Peace and Security,Transnational Crime," $650,000.00 ",650000,650000
2011,1,Obligations,Special Assistance Initiatives,usaid,Albania,Albania,DRG,Political Competition and Consensus-Building, $(33.00),-33,-33
2009,2,Disbursements,Economic Support Fund, USAID ,India,India,Economic Development,Infrastructure," $3,676.69 ",3676.69,3676.69
2013,3,Disbursements,Economic Support Fund,usaid,Jamaica,Jamaica,Education and Social Services,Basic Education," $358,712.33 ",358712.33,358712.33
2013,3,Disbursements,N/A,U.S.A.I.D,Zambia,Zambia,Health,Water Supply and Sanitation," $839,477.46 ",839477.46,839477.46
2012,2,Obligations,N/A, MCC ,Georgia,Georgia,Program Management,Direct Administrative Costs, $-   ,,
2012,1,Disbursements,Development Assistance,usaid,Ghana,Ghana,Education and Social Services,Higher Education," $56,698.22 ",56698.22,56698.22
2013,2,Obligations,N/A,usaid,Ethiopia,Ethiopia,"Democracy, Human Rights, and Governance",Civil Society," $1,501.96 ",1501.96,1501.96
2011,4,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Madagascar,Humanitarian Assistance,"Protection, Assistance and Solutions"," $451,735.00 ",451735,451735
2008,4,Obligations,N/A, MCC ,Georgia,Georgia,Economic Development,Agriculture," $250,000.00 ",250000,250000
2012,4,Disbursements,Economic Support Fund,usaid,Colombia,Colombia,Program Management,Direct Administrative Costs," $(260,294.31)",-260294.31,-260294.31
2009,2,Disbursements,Economic Support Fund, USAID ,Colombia,Colombia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $809,575.95 ",809575.95,809575.95
2013,4,Disbursements,N/A,usaid,Turkmenistan,Turkmenistan,Economic Development,Financial Sector," $8,000.00 ",8000,8000
2013,4,Obligations,Assist. For N.I.S Of Former Soviet Union,usaid,Eurasia Region,Eurasia Region,Program Management,Direct Administrative Costs," $(1,746.07)",-1746.07,-1746.07
2011,1,Obligations,Global Health & Child Survival,U.S.A.I.D,Angola,Angola,Health,HIV/AIDS," $3,910,159.00 ",3910159,3910159
2010,2,Disbsmnt.,Economic Support Fund,usaid,Indonesia,Indonesia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $131,516.21 ",131516.21,131516.21
2011,1,Disbursements,Economic Support Fund,usaid,USAID Middle East Regional,South Asia Region,Peace and Security,Counterterrorism," $116,277.56 ",116277.56,116277.56
2012,1,Disbursements,Economic Support Fund,usaid,Pakistan,Kazakhstan,Program Management,Direct Administrative Costs, $518.99 ,518.99,518.99
2013,3,Disbursements,N/A,U.S.A.I.D,USAID Middle East Regional,USAID Middle East Regional,Health,Water Supply and Sanitation," $170,679.38 ",170679.38,170679.38
2011,1,Disbursements,Development Assistance,usaid,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs, $6.84 ,6.84,6.84
2010,,Disbsmnt.,N/A,USADF,Burkina Faso,Burkina Faso,,Trade and Investment," $47,490.38 ",47490.38,47490.38
2009,2,Obligations,Transition Initiatives, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance","Sudan, Pre-2011 Election",Program Management,Direct Administrative Costs," $350,220.00 ",350220,350220
2014,2,Disbursements,N/A, MCC ,Mozambique,Mozambique,Economic Development,Macroeconomic Foundation for Growth," $(31,999.34)",-31999.34,-31999.34
2010,1,Disbsmnt.,Economic Support Fund,usaid,Iraq,Iraq,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $418,990.50 ",418990.5,418990.5
2013,2,Disbursements,Economic Support Fund,usaid,Lebanon,Lebanon,Program Management,Monitoring and Evaluation," $236,950.21 ",236950.21,236950.21
2012,2,Obligations,Assist. For N.I.S Of Former Soviet Union,usaid,Joint Eurasia Regional,Eurasia Region,Econ. Dev.,Financial Sector," $(8,794.70)",-8794.700000000001,-8794.700000000001
2012,4,Disbursements,Development Assistance,usaid,Cambodia,Cambodia,Education and Social Services,Basic Education," $436,375.36 ",436375.36,436375.36
2012,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eastern European Region,Econ. Dev.,Financial Sector," $512,133.23 ",512133.23,512133.23
2012,3,Disbursements,Economic Support Fund,usaid,El Salvador,El Salvador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $304,212.34 ",304212.34,304212.34
2012,3,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Laos,Education and Social Services,Social Services," $22,477.16 ",22477.16,22477.16
2010,4,Obgl.,Assist. For N.I.S Of Former Soviet Union,usaid,Georgia,Georgia,Economic Development,Economic Opportunity," $262,640.00 ",262640,262640
2010,1,Disbsmnt.,Development Assistance,usaid,Timor-Leste,Timor-Leste,Economic Development,Private Sector Competitiveness," $503,977.62 ",503977.62,503977.62
2010,3,Disbsmnt.,Development Assistance,usaid,USAID Southern Africa Regional,South Africa Region,ENVIRONMENT,Natural Resources and Biodiversity, $43.50 ,43.5,43.5
2013,1,Obligations,Global Health & Child Survival,usaid,Pakistan,Pakistan,Program Management,Direct Administrative Costs," $159,896.50 ",159896.5,159896.5
2013,4,Disbursements,N/A,usaid,West Africa Region,West Africa Region,ENVIRONMENT,Natural Resources and Biodiversity," $523,396.67 ",523396.67,523396.67
2013,3,Obligations,Gifts and Donations,usaid,Moldova,Moldova,"Democracy, Human Rights, and Governance",Civil Society," $44,710.00 ",44710,44710
2013,3,Disbursements,Economic Support Fund,usaid,Zambia,Zambia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $112,488.59 ",112488.59,112488.59
2013,4,Obligations,N/A,usaid,Armenia,Armenia,Economic Development,Trade and Investment," $378,230.00 ",378230,378230
2013,3,Disbursements,Economic Support Fund,usaid,El Salvador,El Salvador,Education and Social Services,Social Assistance," $861,712.60 ",861712.6,861712.6
2010,2,Disbsmnt.,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Ghana,Humanitarian Assistance,"Protection, Assistance and Solutions"," $416,000.00 ",416000,416000
2014,2,Disbursements,International Disaster Assistance,usaid,Mexico,Mexico,Program Management,Direct Administrative Costs," $1,750.42 ",1750.42,1750.42
2011,3,Obligations,Development Assistance,usaid,USAID Central America Regional,Central American Region,Program Management,Monitoring and Evaluation," $(27,723.96)",-27723.96,-27723.96
2009,2,Obligations,Development Assistance, USAID ,Asia Middle East Regional,Asia Region,ENVIRONMENT,Clean Productive Environment," $98,129.78 ",98129.78,98129.78
2012,3,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Zambia,Program Management,Direct Administrative Costs," $7,715.00 ",7715,7715
2014,2,Disbursements,N/A,usaid,Indonesia,Indonesia,Education and Social Services,Higher Education," $2,032,666.40 ",2032666.4,2032666.4
2014,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Yemen,Yemen,Health,Family Planning and Reproductive Health," $1,356.86 ",1356.86,1356.86
2014,2,Obligations,N/A,usaid,Latin America and Caribbean Region,Latin America and Caribbean Region,"Democracy, Human Rights, and Governance",Civil Society," $533,000.00 ",533000,533000
2011,4,Disbursements,Operating Expenses,usaid,USAID Middle East Regional,Worldwide,Program Management,Direct Administrative Costs," $1,210,162.00 ",1210162,1210162
2013,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Ukraine,Ukraine,Health,HIV/AIDS," $3,454,344.68 ",3454344.68,3454344.68
20014,0,Disbursements,N/A,DoD,Central African Republic,Central African Republic,Peace and Security,Counterterrorism," $4,050.00 ",4050,4050
2013,1,Disbursements,Commodity Credit Corp Title II and III,usaid,Sudan,Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $58,098.12 ",58098.12,58098.12
2012,4,Obligations,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education and Social Services,Social Services," $402,128.00 ",402128,402128
2012,1,Disbursements,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Venezuela,Program Management,Direct Administrative Costs," $14,653.60 ",14653.6,14653.6
2012,2,Disbursements,Economic Support Fund,usaid,Kenya,Kenya,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $379,362.65 ",379362.65,379362.65
2010,4,Disbsmnt.,N/A, MCC ,Ghana,Ghana,Education and Social Services,Social Services," $4,914,556.70 ",4914556.7,4914556.7
2009,4,Obligations,Special Assistance Initiatives, USAID ,USAID Operating Expense,Worldwide,Economic Development,Agriculture, $42.17 ,42.17,42.17
2013,2,Obligations,Economic Support Fund,usaid,Burma,Burma,"Democracy, Human Rights, and Governance",Good Governance," $300,000.00 ",300000,300000
2013,2,Disbursements,N/A,usaid,Philippines,Philippines,Education and Social Services,Basic Education," $384,322.31 ",384322.31,384322.31
2010,2,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Lesotho,Humanitarian Assistance,Disaster Readiness," $462,540.00 ",462540,462540
2010,4,Obgl.,Economic Support Fund,usaid,Egypt,Egypt,Economic Development,Agriculture," $8,006,000.00 ",8006000,8006000
2012,4,Obligations,Development Assistance,usaid,USAID Latin America and Caribbean Regional,Colombia,ENVIRONMENT,Natural Resources and Biodiversity, $(623.96),-623.96,-623.96
2013,1,Obligations,N/A,Department of Stata,Worldwide,Worldwide,,Counterterrorism," $139,448.34 ",139448.34,139448.34
2012,4,Obligations,Economic Support Fund,U.S.A.I.D,Pakistan,Pakistan,Health,Maternal and Child Health," $(10,000,000.00)",-10000000,-10000000
2010,4,Obgl.,Special Assistance Initiatives,usaid,Macedonia,Macedonia,Education and Social Services,Basic Education," $(4,578.54)",-4578.54,-4578.54
2013,3,Obligations,Economic Support Fund,usaid,Sudan,Sudan,Program Management,Monitoring and Evaluation," $406,255.34 ",406255.34,406255.34
2013,3,Disbursements,Special Assistance Initiatives,usaid,Kosovo,Kosovo,Economic Development,Financial Sector, $(127.46),-127.46,-127.46
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Armenia,Armenia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $507,335.00 ",507335,507335
2009,3,Disbursements,Global Health & Child Survival, USAID ,Ethiopia,Ethiopia,Program Management,Direct Administrative Costs," $30,779.68 ",30779.68,30779.68
2012,2,Disbursements,Development Assistance,usaid,South Africa,South Africa,Program Management,Direct Administrative Costs," $59,743.46 ",59743.46,59743.46
2010,3,Disbsmnt.,Development Assistance,usaid,Senegal,Senegal,ENVIRONMENT,Natural Resources and Biodiversity," $35,988.35 ",35988.35,35988.35
2009,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Zimbabwe,Zimbabwe,Health,Maternal and Child Health," $5,000.00 ",5000,5000
2009,4,Obligations,Development Assistance, USAID ,USAID Office of Development Partners,Worldwide,Economic Development,Private Sector Competitiveness," $1,053,724.85 ",1053724.85,1053724.85
2014,1,Obligations,N/A,PEACE CORPS,Benin,Benin,,Health - General," $81,859.52 ",81859.52,81859.52
2009,1,Disbursements,N/A, MCC ,El Salvador,El Salvador,Education and Social Services,Basic Education," $(324,192.70)",-324192.7,-324192.7
2012,2,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Worldwide,Health,Family Planning and Reproductive Health," $27,383,317.30 ",27383317.3,27383317.3
2010,4,Disbsmnt.,Economic Support Fund,usaid,"USAID Economic Growth, Education and Environment",Sri Lanka,Program Management,Direct Administrative Costs, $13.50 ,13.5,13.5
2009,2,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID ,Joint Eurasia Regional,Eurasia Region,Education and Social Services,Social Assistance," $1,360.95 ",1360.95,1360.95
2010,1,Obgl.,Global Health & Child Survival,U.S.A.I.D,Mexico,Mexico,Health,HIV/AIDS," $(24,772.00)",-24772,-24772
2010,2,Disbsmnt.,Special Assistance Initiatives,usaid,Macedonia,Macedonia,Economic Development,Private Sector Competitiveness," $492,859.14 ",492859.14,492859.14
2009,4,Disbursements,Development Assistance, USAID ,Angola,Angola,Program Management,Monitoring and Evaluation," $14,085.51 ",14085.51,14085.51
2011,2,Obligations,Assist. For N.I.S Of Former Soviet Union,usaid,Moldova,Moldova,DRG,Political Competition and Consensus-Building," $(15,280.95)",-15280.95,-15280.95
2011,1,Obligations,Operating Expenses,usaid,Benin,Worldwide,Program Management,Direct Administrative Costs," $258,619.96 ",258619.96,258619.96
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia", USAID ,Russia,Russia,"Democracy, Human Rights, and Governance",Civil Society," $5,521,468.00 ",5521468,5521468
2010,4,Obgl.,Development Assistance,usaid,USAID West Africa Regional,West Africa Region,Economic Development,Agriculture," $26,500,000.00 ",26500000,26500000
2011,1,Disbursements,Economic Support Fund,usaid,South Africa,South Africa,DRG,Rule of Law and Human Rights," $8,832.57 ",8832.57,8832.57
2010,4,Disbsmnt.,Millennium Challenge Corporation,usaid,Moldova,Moldova,"Democracy, Human Rights, and Governance",Civil Society," $(13,383.36)",-13383.36,-13383.36
2012,1,Obligations,Global Health & Child Survival,U.S.A.I.D,Ghana,Ghana,Health,HIV/AIDS," $1,080,132.00 ",1080132,1080132
2013,2,Disbursements,Millennium Challenge Corporation,usaid,Liberia,Liberia,Economic Development,Economic Opportunity, $102.00 ,102,102
2012,4,Disbursements,Economic Support Fund,usaid,Uganda,Uganda,Econ. Dev.,Infrastructure," $114,989.92 ",114989.92,114989.92
2011,4,Disbursements,Economic Support Fund,usaid,Near East Regional,Near East Region,DRG,Political Competition and Consensus-Building," $66,465.50 ",66465.5,66465.5
2009,1,Disbursements,Economic Support Fund, USAID ,Nepal,Nepal,Peace and Security,Conflict Mitigation and Reconciliation," $175,868.46 ",175868.46,175868.46
2013,2,Obligations,Economic Support Fund,usaid,Indonesia,Indonesia,Program Management,Direct Administrative Costs," $227,904.15 ",227904.15,227904.15
2011,1,Disbursements,Development Assistance,usaid,Mozambique,Mozambique,Humanitarian Assistance,Disaster Readiness," $12,138.27 ",12138.27,12138.27
2012,1,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Dominican Republic,Dominican Republic,Health,HIV/AIDS, $14.00 ,14,14
