FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2,notCountry
2009,2,Obligations,Development Assistance,USAID,Nicaragua,Nicaragua,"Democracy, Human Rights, And Governance",Civil Society," $5,266.00 ",5266,5266,0
2012,1,Obligations,Global HIV/AIDS Initiative,USAID,Ukraine,Ukraine,Health,HIV/AIDS, $(989.60),-989.6,-989.6,0
2014,2,Disbursements,Economic Support Fund,USAID,Somalia,Somalia,Education And Social Services,Basic Education," $1,559,317.23 ",1559317.23,1559317.23,0
2013,2,Disbursements,Unknown,USAID,Mozambique,Mozambique,Education And Social Services,Social Assistance," $6,361.65 ",6361.65,6361.65,0
2008,1,Disbursements,Unknown,MCC,Benin,Benin,Economic Development,Financial Sector," $(33,979.00)",-33979,-33979,0
2009,3,Disbursements,Development Assistance,USAID,Senegal,Senegal,"Democracy, Human Rights, And Governance",Good Governance," $44,449.00 ",44449,44449,0
2010,1,Obligations,Unknown,Peace Corps,Costa Rica,Costa Rica,Missing,Economic Development - General," $907,266.57 ",907266.57,907266.57,0
2009,1,Disbursements,Special Assistance Initiatives,USAID,Bosnia and Herzegovina,Bosnia and Herzegovina,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $695,144.45 ",695144.45,695144.45,0
2014,2,Obligations,Child Survival and Health Programs Fund,USAID,Mozambique,Mozambique,Health,Maternal and Child Health," $1,000.00 ",1000,1000,0
2014,,Disbursements,Unknown,DOD,Iraq,Iraq,Peace And Security,Counterterrorism," $62,833.00 ",62833,62833,0
2014,2,Obligations,Economic Support Fund,USAID,Latin America and Caribbean Region,Latin America and Caribbean Region,"Democracy, Human Rights, And Governance",Good Governance," $1,249,615.78 ",1249615.78,1249615.78,1
2010,3,Disbursements,Andean Counterdrug Initiative,USAID,Colombia,Colombia,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights, $362.00 ,362,362,0
2012,1,Disbursements,Unknown,Peace Corps,Guatemala,Guatemala,Missing,Economic Development - General," $706,002.64 ",706002.64,706002.64,0
2011,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Turkmenistan,Turkmenistan,Education And Social Services,Higher Education," $29,467.00 ",29467,29467,0
2009,3,Disbursements,Development Credit Authority-Financ Acct,USAID,"USAID Economic Growth, Education and Environment",Indonesia,Economic Development,Financial Sector," $126,505.73 ",126505.73,126505.73,0
2011,4,Disbursements,Development Assistance,USAID,USAID Southern Africa Regional,South Africa Region,Economic Development,Trade and Investment," $2,787,690.77 ",2787690.77,2787690.77,1
2012,1,Obligations,Global Health & Child Survival,USAID,Ukraine,Ukraine,Program Management,Direct Administrative Costs," $48,843.70 ",48843.7,48843.7,0
2013,3,Obligations,Unknown,USAID,Honduras,Honduras,"Democracy, Human Rights, And Governance",Good Governance," $248,160.37 ",248160.37,248160.37,0
2012,2,Obligations,Unknown,USAID,Kenya,Kenya,Humanitarian Assistance,"Protection, Assistance and Solutions"," $11,714,000.00 ",11714000,11714000,0
2013,4,Obligations,Unknown,USAID,Mali,Mali,Peace And Security,Conflict Mitigation and Reconciliation," $2,500,000.00 ",2500000,2500000,0
2009,2,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kosovo,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $34,837.07 ",34837.07,34837.07,0
2010,4,Disbursements,Special Assistance Initiatives,USAID,Kosovo,Kosovo,Economic Development,Macroeconomic Foundation for Growth," $793,367.68 ",793367.6800000001,793367.6800000001,0
2009,2,Disbursements,Unknown,MCC,Nicaragua,Nicaragua,Economic Development,Agriculture," $1,708,903.53 ",1708903.53,1708903.53,0
2012,2,Obligations,Development Assistance,USAID,Ghana,Ghana,Program Management,Direct Administrative Costs," $350,000.00 ",350000,350000,0
2012,4,Obligations,Development Assistance,USAID,USAID Office of Development Partners,East Asia Region,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $(3,000.00)",-3000,-3000,1
2012,2,Disbursements,Development Assistance,USAID,Vietnam,Vietnam,Economic Development,Financial Sector," $376,000.00 ",376000,376000,0
2012,4,Obligations,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Pakistan,Program Management,Direct Administrative Costs," $(42,003.79)",-42003.79,-42003.79,0
2011,2,Obligations,Operating Expenses,USAID,Mozambique,Worldwide,Program Management,Direct Administrative Costs," $1,568,190.26 ",1568190.26,1568190.26,0
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,USAID Central Asia Regional,Central Asia Region,Program Management,Monitoring and Evaluation," $(13,922.20)",-13922.2,-13922.2,1
2011,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Armenia,Health,Other Public Health Threats," $35,748.93 ",35748.93,35748.93,0
2012,4,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Republic of",Humanitarian Assistance,"Protection, Assistance and Solutions"," $358,688.72 ",358688.72,358688.72,0
2011,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Program Management,Monitoring and Evaluation," $104,405.78 ",104405.78,104405.78,0
2009,3,Disbursements,Millennium Challenge Corporation,USAID,Guyana,Guyana,Economic Development,Macroeconomic Foundation for Growth," $820,310.87 ",820310.87,820310.87,0
2010,2,Obligations,Development Assistance,USAID,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $83,726.36 ",83726.36,83726.36,0
2011,1,Disbursements,Operating Expenses,USAID,Ghana,Worldwide,Program Management,Direct Administrative Costs," $970,889.78 ",970889.78,970889.78,0
2009,4,Disbursements,Development Assistance,USAID,USAID Office of Development Partners,Egypt,Health,Other Public Health Threats," $20,403.56 ",20403.56,20403.56,0
2011,2,Obligations,Development Assistance,USAID,Rwanda,Rwanda,Education And Social Services,Social Assistance," $75,000.00 ",75000,75000,0
2012,4,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Worldwide,Program Management,Direct Administrative Costs," $(23,358.13)",-23358.13,-23358.13,0
2013,4,Obligations,Unknown,USAID,Ukraine,Ukraine,Program Management,Monitoring and Evaluation," $446,550.21 ",446550.21,446550.21,0
2014,,Disbursements,Unknown,DOD,Mexico,Mexico,Humanitarian Assistance,"Protection, Assistance and Solutions"," $15,000.00 ",15000,15000,0
2009,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Costa Rica,Program Management,Direct Administrative Costs," $383,605.61 ",383605.61,383605.61,0
2012,3,Disbursements,Development Assistance,USAID,"Congo, Republic of","Congo, Republic of",Education And Social Services,Social Assistance," $24,500.00 ",24500,24500,0
2010,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Kazakhstan,Kazakhstan,"Democracy, Human Rights, And Governance",Civil Society," $489,849.21 ",489849.21,489849.21,0
2012,1,Obligations,Development Assistance,USAID,Cambodia,Cambodia,Program Management,Monitoring and Evaluation," $414,040.00 ",414040,414040,0
2011,3,Disbursements,Operating Expenses,USAID,Croatia,Worldwide,Program Management,Direct Administrative Costs," $60,278.00 ",60278,60278,0
2010,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Russia,Russia,Health,Family Planning and Reproductive Health," $402,358.82 ",402358.82,402358.82,0
2012,2,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa,Program Management,Direct Administrative Costs," $61,369.41 ",61369.41,61369.41,0
2011,4,Disbursements,Development Assistance,USAID,Djibouti,Djibouti,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $(61,367.71)",-61367.71,-61367.71,0
2009,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Bangladesh,Program Management,Direct Administrative Costs," $13,934.00 ",13934,13934,0
2009,1,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Sudan, Pre-2011 Election",Humanitarian Assistance,"Protection, Assistance and Solutions"," $6,000.00 ",6000,6000,0
2014,2,Obligations,Transition Initiatives,USAID,Kyrgyz Republic,Kyrgyz Republic,Program Management,Direct Administrative Costs," $18,044.68 ",18044.68,18044.68,0
2012,2,Obligations,Development Assistance,USAID,Mexico,Mexico,Economic Development,Economic Opportunity," $(1,222.05)",-1222.05,-1222.05,0
2010,2,Obligations,Development Assistance,USAID,Bolivia,Bolivia,Program Management,Direct Administrative Costs, $-   ,,,0
2011,3,Disbursements,Unknown,MCC,Armenia,Armenia,Multi-Sector,Multi-Sector - Unspecified," $413,222.55 ",413222.55,413222.55,0
2012,2,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",West Bank and Gaza,Education And Social Services,Higher Education," $116,831.27 ",116831.27,116831.27,0
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,Program Management,Direct Administrative Costs," $339,118.91 ",339118.91,339118.91,0
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $3,041,513.00 ",3041513,3041513,0
2014,2,Disbursements,International Disaster Assistance,USAID,Angola,Angola,Program Management,Direct Administrative Costs," $2,278.62 ",2278.62,2278.62,0
2011,3,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Environment,Clean Productive Environment," $(12,761.78)",-12761.78,-12761.78,0
2013,1,Disbursements,International Disaster Assistance,USAID,Yemen,Yemen,Humanitarian Assistance,"Protection, Assistance and Solutions"," $13,176,418.45 ",13176418.45,13176418.45,0
2012,2,Disbursements,Gifts and Donations,USAID,Kazakhstan,Kazakhstan,Economic Development,Private Sector Competitiveness," $85,872.99 ",85872.99000000001,85872.99000000001,0
2013,2,Disbursements,Global Health & Child Survival,USAID,Rwanda,Rwanda,Program Management,Monitoring and Evaluation," $469,464.87 ",469464.87,469464.87,0
2014,1,Disbursements,Unknown,Peace Corps,Ecuador,Ecuador,Missing,Environment - General," $163,246.82 ",163246.82,163246.82,0
2012,4,Disbursements,Economic Support Fund,USAID,Tunisia,Tunisia,Economic Development,Private Sector Competitiveness," $895,119.67 ",895119.67,895119.67,0
2012,4,Obligations,Development Assistance,USAID,Burkina Faso,Burkina Faso,Education And Social Services,Social Assistance," $50,000.00 ",50000,50000,0
2013,3,Disbursements,Global Health & Child Survival,USAID,Ghana,Ghana,Program Management,Direct Administrative Costs," $339,111.28 ",339111.28,339111.28,0
2013,3,Obligations,Economic Support Fund,USAID,Dominican Republic,Dominican Republic,Program Management,Direct Administrative Costs," $6,435.50 ",6435.5,6435.5,0
2009,2,Obligations,Development Credit Authority-Financ Acct,USAID,"USAID Economic Growth, Education and Environment",Kenya,Economic Development,Financial Sector," $7,200.00 ",7200,7200,0
2010,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Kosovo,Kosovo,Peace And Security,Conflict Mitigation and Reconciliation," $61,475.93 ",61475.93,61475.93,0
2011,1,Disbursements,Tech. Assistance,USAID,Egypt,Egypt,Health,Maternal and Child Health," $5,804.01 ",5804.01,5804.01,0
2010,4,Disbursements,Development Assistance,USAID,Madagascar,Madagascar,Environment,Natural Resources and Biodiversity," $15,945.20 ",15945.2,15945.2,0
2012,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Peace And Security,Combating Weapons of Mass Destruction (WMD)," $2,261,040.00 ",2261040,2261040,0
2011,4,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $55,759.28 ",55759.28,55759.28,0
2012,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Bosnia and Herzegovina,Bosnia and Herzegovina,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $1,551,168.00 ",1551168,1551168,0
2012,4,Disbursements,Unknown,MCC,MCC - General Office,MCC - General Office,Multi-Sector,Multi-Sector - Unspecified," $1,419,853.94 ",1419853.94,1419853.94,1
2009,3,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Education And Social Services,Social Services," $96,963.10 ",96963.10000000001,96963.10000000001,0
2012,2,Disbursements,Economic Support Fund,USAID,Uganda,Uganda,Economic Development,Infrastructure," $328,192.77 ",328192.77,328192.77,0
2012,4,Obligations,Economic Support Fund,USAID,"USAID Economic Growth, Education and Environment",South Sudan,"Democracy, Human Rights, And Governance",Good Governance," $300,000.00 ",300000,300000,0
2012,2,Disbursements,Commodity Credit Corporation,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Korea, North",Humanitarian Assistance,"Protection, Assistance and Solutions"," $4,332.54 ",4332.54,4332.54,0
2010,2,Disbursements,Development Assistance,USAID,Ecuador,Ecuador,Program Management,Monitoring and Evaluation," $15,983.24 ",15983.24,15983.24,0
2012,3,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education And Social Services,Social Services," $2,976,024.27 ",2976024.27,2976024.27,0
2010,2,Disbursements,Development Assistance,USAID,USAID Caribbean Regional,Caribbean Region,Environment,Clean Productive Environment," $4,191.88 ",4191.88,4191.88,1
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Uzbekistan,Uzbekistan,"Democracy, Human Rights, And Governance",Good Governance," $26,243.39 ",26243.39,26243.39,0
2011,3,Disbursements,Development Credit Authority,USAID,"USAID Economic Growth, Education and Environment",El Salvador,Economic Development,Economic Opportunity," $3,561.26 ",3561.26,3561.26,0
2011,2,Obligations,Global HIV/AIDS Initiative,USAID,Ethiopia,Ethiopia,Health,HIV/AIDS, $(283.66),-283.66,-283.66,0
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Azerbaijan,Azerbaijan,"Democracy, Human Rights, And Governance",Civil Society," $808,608.82 ",808608.82,808608.82,0
2011,1,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Bahamas, The",Humanitarian Assistance,Disaster Readiness," $9,900.00 ",9900,9900,0
2013,2,Disbursements,Unknown,USAID,Philippines,Philippines,Peace And Security,Conflict Mitigation and Reconciliation," $1,353.34 ",1353.34,1353.34,0
2009,4,Disbursements,Commodity Credit Corporation,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Agriculture," $1,100.00 ",1100,1100,0
2014,2,Obligations,Global Health & Child Survival,USAID,Malawi,Malawi,Program Management,Monitoring and Evaluation," $738,543.88 ",738543.88,738543.88,0
2011,3,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Guinea,Peace And Security,Conflict Mitigation and Reconciliation," $26,941.94 ",26941.94,26941.94,0
2012,4,Obligations,Operating Expenses,USAID,Bosnia and Herzegovina,Worldwide,Program Management,Direct Administrative Costs," $1,033,695.18 ",1033695.18,1033695.18,0
2012,1,Disbursements,Development Assistance,USAID,Brazil,Brazil,Program Management,Monitoring and Evaluation," $52,454.44 ",52454.44,52454.44,0
2012,1,Disbursements,Development Assistance,USAID,Gabon,Gabon,Education And Social Services,Social Assistance," $1,865.07 ",1865.07,1865.07,0
2011,2,Disbursements,Development Assistance,USAID,Laos,Laos,Economic Development,Trade and Investment," $212,387.64 ",212387.64,212387.64,0
2009,2,Obligations,Special Assistance Initiatives,USAID,Kosovo,Kosovo,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $54,582.74 ",54582.74,54582.74,0
2012,3,Obligations,Global Health & Child Survival,USAID,Ghana,Ghana,Health,Malaria," $450,000.00 ",450000,450000,0
2011,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Zimbabwe,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $1,545,072.76 ",1545072.76,1545072.76,0
2013,1,Obligations,Child Survival and Health Programs Fund,USAID,Kenya,Kenya,Health,Maternal and Child Health," $53,054.35 ",53054.35,53054.35,0
2009,3,Disbursements,Development Assistance,USAID,Rwanda,Rwanda,"Democracy, Human Rights, And Governance",Civil Society," $21,465.33 ",21465.33,21465.33,0
2009,3,Disbursements,Development Assistance,USAID,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $19,727.02 ",19727.02,19727.02,0
2011,4,Disbursements,Development Assistance,USAID,Tanzania,Tanzania,Education And Social Services,Social Assistance, $860.96 ,860.96,860.96,0
2009,1,Disbursements,Development Assistance,USAID,Madagascar,Madagascar,Education And Social Services,Social Services," $15,929.67 ",15929.67,15929.67,0
2012,2,Obligations,Development Assistance,USAID,Vietnam,Vietnam,Economic Development,Macroeconomic Foundation for Growth," $71,000.00 ",71000,71000,0
2010,2,Disbursements,Economic Support Fund,USAID,USAID West Africa Regional,West Africa Region,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $96,600.00 ",96600,96600,1
2009,4,Obligations,Global Health & Child Survival,USAID,Tanzania,Tanzania,Program Management,Monitoring and Evaluation," $467,000.00 ",467000,467000,0
2009,2,Disbursements,Global HIV/AIDS Initiative,USAID,Malawi,Malawi,Health,HIV/AIDS," $46,177.85 ",46177.85,46177.85,0
2011,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Mozambique,Education And Social Services,Basic Education," $1,500,000.00 ",1500000,1500000,0
2010,1,Disbursements,Child Survival and Health Programs Fund,USAID,Guatemala,Guatemala,Health,Maternal and Child Health," $2,238.56 ",2238.56,2238.56,0
2010,1,Disbursements,Economic Support Fund,USAID,China,East Asia Region,Program Management,Direct Administrative Costs," $77,419.08 ",77419.08,77419.08,1
2009,3,Disbursements,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Environment,Clean Productive Environment," $422,446.05 ",422446.05,422446.05,0
2012,4,Disbursements,Child Survival and Health Programs Fund,USAID,Bangladesh,Bangladesh,Health,Tuberculosis," $9,074.57 ",9074.57,9074.57,0
2011,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Ukraine,Ukraine,Education And Social Services,Higher Education," $24,526.40 ",24526.4,24526.4,0
2014,,Obligations,Unknown,DOD,Afghanistan,Afghanistan,Peace And Security,Stabilization Operations and Security Sector Reform," $2,893,771.00 ",2893771,2893771,0
2010,3,Disbursements,Special Assistance Initiatives,USAID,Kosovo,Kosovo,Education And Social Services,Higher Education," $2,032,301.73 ",2032301.73,2032301.73,0
2013,3,Disbursements,Global Health & Child Survival,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Monitoring and Evaluation," $253,166.09 ",253166.09,253166.09,0
2012,3,Obligations,Unknown,DOS,Tajikistan,Tajikistan,Missing,Counterterrorism, $887.43 ,887.43,887.43,0
2013,3,Obligations,Unknown,USAID,East Africa Region,East Africa Region,Environment,Clean Productive Environment," $250,000.00 ",250000,250000,1
2012,1,Disbursements,Development Assistance,USAID,USAID Middle East Regional,Egypt,Program Management,Direct Administrative Costs," $23,664.54 ",23664.54,23664.54,0
2010,3,Obligations,Economic Support Fund,USAID,Vietnam,Vietnam,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights, $(25.38),-25.38,-25.38,0
2009,4,Disbursements,Child Survival and Health Programs Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Monitoring and Evaluation," $43,008.71 ",43008.71,43008.71,0
2013,4,Disbursements,Economic Support Fund,USAID,Jordan,Jordan,Health,Maternal and Child Health," $1,743,919.81 ",1743919.81,1743919.81,0
2010,1,Disbursements,Economic Support Fund,USAID,USAID Middle East Regional,South Asia Region,Peace And Security,Counterterrorism," $1,278.95 ",1278.95,1278.95,1
2011,1,Obligations,Unknown,Peace Corps,Kenya,Kenya,Missing,Education and Social Services - General," $1,401,316.07 ",1401316.07,1401316.07,0
2013,1,Disbursements,Unknown,USAID,Africa Region,Africa Region,Economic Development,Trade and Investment," $128,297.23 ",128297.23,128297.23,1
2008,4,Disbursements,Unknown,MCC,Benin,Benin,Economic Development,Infrastructure," $1,087,755.00 ",1087755,1087755,0
2011,4,Obligations,Economic Support Fund,USAID,El Salvador,El Salvador,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $1,000,000.00 ",1000000,1000000,0
2010,3,Disbursements,Economic Support Fund,USAID,Indonesia,Indonesia,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $274,391.91 ",274391.91,274391.91,0
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Joint Eurasia Regional,Eastern European Region,Economic Development,Infrastructure," $355,526.71 ",355526.71,355526.71,1
2013,1,Disbursements,Unknown,USAID,Kenya,Kenya,Health,Water Supply and Sanitation," $1,073,230.27 ",1073230.27,1073230.27,0
2011,1,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Guinea,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $300,000.00 ",300000,300000,0
2011,2,Disbursements,Development Assistance,USAID,Ecuador,Ecuador,Economic Development,Trade and Investment," $329,874.48 ",329874.48,329874.48,0
2009,3,Disbursements,Development Assistance,USAID,Philippines,Philippines,Environment,Natural Resources and Biodiversity," $1,417,155.05 ",1417155.05,1417155.05,0
2009,4,Disbursements,Unknown,MCC,Ghana,Ghana,Multi-Sector,Multi-Sector - Unspecified," $(3,131,696.95)",-3131696.95,-3131696.95,0
2013,4,Disbursements,International Disaster Assistance,USAID,Nepal,Nepal,Humanitarian Assistance,Disaster Readiness," $306,929.98 ",306929.98,306929.98,0
2009,3,Disbursements,Commodity Credit Corp Title II and III,USAID,"USAID Economic Growth, Education and Environment",Central African Republic,Economic Development,Agriculture," $243,447.54 ",243447.54,243447.54,0
2013,4,Disbursements,Unknown,USAID,Peru,Peru,Program Management,Direct Administrative Costs," $1,769,605.37 ",1769605.37,1769605.37,0
2010,4,Obligations,Development Assistance,USAID,Cambodia,Cambodia,Education And Social Services,Basic Education," $1,127,434.00 ",1127434,1127434,0
2010,2,Disbursements,Global Health & Child Survival,USAID,China,China,Program Management,Direct Administrative Costs," $59,121.85 ",59121.85,59121.85,0
2011,4,Disbursements,Economic Support Fund,USAID,Timor-Leste,Timor-Leste,Program Management,Direct Administrative Costs," $4,202.45 ",4202.45,4202.45,0
2013,2,Disbursements,Unknown,USAID,Moldova,Moldova,Economic Development,Private Sector Competitiveness," $1,634,027.26 ",1634027.26,1634027.26,0
2012,4,Obligations,Economic Support Fund,USAID,Liberia,Liberia,Education And Social Services,Basic Education," $27,850,000.00 ",27850000,27850000,0
2009,2,Disbursements,Economic Support Fund,USAID,Haiti,Haiti,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $878,002.38 ",878002.38,878002.38,0
2013,1,Obligations,Child Survival and Health Programs Fund,USAID,Philippines,Philippines,Health,Family Planning and Reproductive Health, $780.79 ,780.79,780.79,0
2013,4,Obligations,Global Health & Child Survival,USAID,Eurasia Region,Eurasia Region,Health,HIV/AIDS," $450,000.00 ",450000,450000,1
2013,,Obligations,Unknown,Treasury,Yemen,Yemen,Missing,Transnational Crime," $31,220.88 ",31220.88,31220.88,0
2012,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Somalia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $66,287,156.67 ",66287156.67,66287156.67,0
2011,2,Obligations,Development Assistance,USAID,USAID Regional Development Mission-Asia,East Asia Region,Program Management,Monitoring and Evaluation," $66,307.25 ",66307.25,66307.25,1
2011,1,Disbursements,Unknown,Peace Corps,Dominican Republic,Dominican Republic,Missing,Education and Social Services - General," $1,584,904.24 ",1584904.24,1584904.24,0
2012,,Disbursements,Unknown,USADF,Zimbabwe,Zimbabwe,Missing,Agriculture," $963,891.61 ",963891.61,963891.61,0
2013,2,Disbursements,Commodity Credit Corp Title II and III,USAID,Pakistan,Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $17,025,791.15 ",17025791.15,17025791.15,0
2013,1,Obligations,Unknown,MCC,Morocco,Morocco,Multi-Sector,Multi-Sector - Unspecified," $(1,724,329.94)",-1724329.94,-1724329.94,0
2012,1,Disbursements,Unknown,Peace Corps,Mali,Mali,Missing,Multi-Sector - Unspecified," $67,928.40 ",67928.39999999999,67928.39999999999,0
2011,1,Obligations,Unknown,Peace Corps,Cape Verde,Cape Verde,Missing,Environment - General," $200,688.73 ",200688.73,200688.73,0
2014,2,Disbursements,Economic Support Fund,USAID,Afghanistan,Afghanistan,Education And Social Services,Higher Education," $4,686,655.62 ",4686655.62,4686655.62,0
2011,1,Disbursements,Development Assistance,USAID,South Africa,South Africa,Economic Development,Private Sector Competitiveness," $1,647,277.58 ",1647277.58,1647277.58,0
2011,,Obligations,Unknown,Treasury,International Organizations and Development Institutions (US Treasury) - Multilateral Investment Fund (MIF),N/A,Multi-Sector,International Contributions," $24,950,000.00 ",24950000,24950000,0
2009,1,Disbursements,Development Assistance,USAID,USAID West Africa Regional,West Africa Region,Peace And Security,Counterterrorism," $139,288.47 ",139288.47,139288.47,1
2014,2,Obligations,Unknown,USAID,Guinea,Guinea,Economic Development,Agriculture," $(668,788.82)",-668788.82,-668788.82,0
2011,4,Disbursements,Development Assistance,USAID,Bangladesh,Bangladesh,Program Management,Direct Administrative Costs," $605,667.27 ",605667.27,605667.27,0
2012,4,Obligations,Global Health & Child Survival,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Education And Social Services,Social Services," $800,000.00 ",800000,800000,0
2014,2,Disbursements,Economic Support Fund,USAID,Angola,Angola,Economic Development,Macroeconomic Foundation for Growth," $4,099.00 ",4099,4099,0
2012,3,Disbursements,Unknown,USAID,Pakistan,Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $17,646,200.00 ",17646200,17646200,0
2009,3,Disbursements,Global HIV/AIDS Initiative,USAID,Namibia,Namibia,Health,HIV/AIDS," $892,712.01 ",892712.01,892712.01,0
2011,2,Disbursements,Operating Expenses,USAID,Peru,Worldwide,Program Management,Direct Administrative Costs," $3,428,257.69 ",3428257.69,3428257.69,0
2011,3,Disbursements,Operating Expenses,USAID,Sri Lanka,Worldwide,Program Management,Direct Administrative Costs," $751,505.72 ",751505.72,751505.72,0
2010,3,Disbursements,Unknown,MCC,Lesotho,Lesotho,Economic Development,Private Sector Competitiveness," $133,021.84 ",133021.84,133021.84,0
2013,1,Obligations,Unknown,Peace Corps,El Salvador,El Salvador,Missing,Economic Development - General," $454,141.57 ",454141.57,454141.57,0
2011,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Infrastructure," $2,917,983.52 ",2917983.52,2917983.52,0
2012,2,Disbursements,Economic Support Fund,USAID,Uganda,Uganda,Peace And Security,Conflict Mitigation and Reconciliation," $4,318.60 ",4318.6,4318.6,0
2013,2,Disbursements,International Disaster Assistance,USAID,West Africa Region,West Africa Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $874,460.63 ",874460.63,874460.63,1
2013,2,Disbursements,Global Health & Child Survival,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,Family Planning and Reproductive Health," $(4,871.44)",-4871.44,-4871.44,0
2010,1,Disbursements,Child Survival and Health Programs Fund,USAID,Bolivia,Bolivia,Health,Family Planning and Reproductive Health," $124,425.96 ",124425.96,124425.96,0
2011,2,Disbursements,Development Assistance,USAID,Vietnam,Vietnam,Education And Social Services,Higher Education," $246,467.54 ",246467.54,246467.54,0
2010,2,Disbursements,Commodity Credit Corporation,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ethiopia,Humanitarian Assistance,"Protection, Assistance and Solutions", $(0.70),-.7,-.7,0
