Planned,,,,,,,
,,,,,,,
Fiscal Year,Fiscal Year Type,Account Name,Agency Name,Operating Unit,Category,Sector, Amount 
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Saudi Arabia,Peace and Security,Counterterrorism," $99,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Serbia,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $855,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Singapore,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $725,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Somalia,Peace and Security,Stabilization Operations and Security Sector Reform," $754,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,South and Central Asia Regional Office (DOS),Peace and Security,Combating Weapons of Mass Destruction (WMD)," $600,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,South and Central Asia Regional Office (DOS),Peace and Security,Counterterrorism," $570,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Sri Lanka,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $250,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Sri Lanka,Peace and Security,Counterterrorism," $397,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,"Sudan, Pre-2011 Election",Peace and Security,Stabilization Operations and Security Sector Reform," $4,400,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Taiwan,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $635,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Tajikistan,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $1,000,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Tajikistan,Peace and Security,Counterterrorism," $1,984,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Tajikistan,Peace and Security,Stabilization Operations and Security Sector Reform," $180,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Tanzania,Peace and Security,Counterterrorism," $149,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Thailand,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $400,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Thailand,Peace and Security,Counterterrorism," $2,083,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,The Bahamas,Peace and Security,Counterterrorism," $401,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Trinidad and Tobago,Peace and Security,Counterterrorism," $883,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Tunisia,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $100,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Turkey,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $600,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Turkey,Peace and Security,Counterterrorism," $1,843,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Turkmenistan,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $1,050,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Uganda,Peace and Security,Counterterrorism," $200,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Ukraine,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $1,100,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Ukraine,Peace and Security,Stabilization Operations and Security Sector Reform," $1,000,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,United Arab Emirates,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $300,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Uzbekistan,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $200,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Vietnam,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $500,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Vietnam,Peace and Security,Stabilization Operations and Security Sector Reform," $2,575,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Western Hemisphere Regional Office (DOS),Peace and Security,Combating Weapons of Mass Destruction (WMD)," $5,100,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Western Hemisphere Regional Office (DOS),Peace and Security,Counterterrorism," $1,100,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Yemen,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $500,000.00 "
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Yemen,Peace and Security,Counterterrorism," $2,034,000.00 "
2008,FY 2008 Actual Base,Peacekeeping Operations,DOS and USAID,Bureau of Political-Military Affairs (DOS),Peace and Security,Counterterrorism," $9,919,000.00 "
2008,FY 2008 Actual Base,Peacekeeping Operations,DOS and USAID,Bureau of Political-Military Affairs (DOS),Peace and Security,Stabilization Operations and Security Sector Reform," $96,442,000.00 "
2008,FY 2008 Actual Base,Peacekeeping Operations,DOS and USAID,Democratic Republic of Congo,Peace and Security,Stabilization Operations and Security Sector Reform," $5,455,000.00 "
2008,FY 2008 Actual Base,Peacekeeping Operations,DOS and USAID,Liberia,Peace and Security,Stabilization Operations and Security Sector Reform," $51,664,000.00 "
2008,FY 2008 Actual Base,Peacekeeping Operations,DOS and USAID,Multinational Force and Observers (DOS),Peace and Security,Conflict Mitigation and Reconciliation," $24,798,000.00 "
2008,FY 2008 Actual Base,Peacekeeping Operations,DOS and USAID,Somalia,Peace and Security,Stabilization Operations and Security Sector Reform," $2,281,000.00 "
2008,FY 2008 Actual Base,Peacekeeping Operations,DOS and USAID,"Sudan, Pre-2011 Election",Peace and Security,Stabilization Operations and Security Sector Reform," $70,822,000.00 "
2008,FY 2008 Actual Base,Transition Initiatives,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Civil Society," $7,279,000.00 "
2008,FY 2008 Actual Base,Transition Initiatives,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Peace and Security,Conflict Mitigation and Reconciliation," $33,175,000.00 "
2008,FY 2008 Actual Base,Transition Initiatives,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Good Governance," $3,940,000.00 "
2008,FY 2008 Actual Base,Transition Initiatives,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $232,000.00 "
2008,FY 2008 Actual Base,Transition Initiatives,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Peace and Security,Stabilization Operations and Security Sector Reform," $10,000.00 "
2008,FY 2008 Actual Base,USAID Administrative Expense,DOS and USAID,USAID Capital Investment Fund,Program Management,Direct Administrative Costs," $87,287,000.00 "
2008,FY 2008 Actual Base,USAID Administrative Expense,DOS and USAID,USAID Development Credit Authority Admin,Program Management,Direct Administrative Costs," $7,102,000.00 "
2008,FY 2008 Actual Base,USAID Administrative Expense,DOS and USAID,USAID Development Credit Authority Admin,Program Management,Monitoring and Evaluation," $992,000.00 "
2008,FY 2008 Actual Base,USAID Administrative Expense,DOS and USAID,USAID Inspector General Operating Expense,Program Management,Direct Administrative Costs," $41,692,000.00 "
2008,FY 2008 Actual Base,USAID Administrative Expense,DOS and USAID,USAID Operating Expense,Program Management,Direct Administrative Costs," $801,157,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Afghanistan,Education and Social Services,Basic Education," $12,500,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Afghanistan,"Democracy, Human Rights, and Governance",Good Governance," $155,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Afghanistan,Education and Social Services,Higher Education," $12,500,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Afghanistan,Economic Development,Infrastructure," $504,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Afghanistan,Health,Maternal and Child Health," $25,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Afghanistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $100,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Afghanistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $20,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Afghanistan,Economic Development,Trade and Investment," $5,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Iraq,"Democracy, Human Rights, and Governance",Civil Society," $15,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Iraq,Economic Development,Economic Opportunity," $17,500,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Iraq,Economic Development,Financial Sector," $25,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Iraq,"Democracy, Human Rights, and Governance",Good Governance," $295,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Iraq,Economic Development,Infrastructure," $82,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Iraq,Economic Development,Private Sector Competitiveness," $92,500,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Iraq,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $18,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Iraq,Peace and Security,Stabilization Operations and Security Sector Reform," $170,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Iraq,Health,Water Supply and Sanitation," $82,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,North Korea,Economic Development,Infrastructure," $53,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Pakistan,Economic Development,Agriculture," $4,080,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Pakistan,Education and Social Services,Basic Education," $8,235,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Pakistan,"Democracy, Human Rights, and Governance",Civil Society," $2,800,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Pakistan,Health,Family Planning and Reproductive Health," $320,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Pakistan,"Democracy, Human Rights, and Governance",Good Governance," $15,110,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Pakistan,Economic Development,Infrastructure," $7,575,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Pakistan,Health,Maternal and Child Health," $4,920,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Pakistan,Economic Development,Private Sector Competitiveness," $15,640,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Pakistan,Health,Water Supply and Sanitation," $1,320,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,"Sudan, Pre-2011 Election","Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $70,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Agriculture," $16,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Education and Social Services,Basic Education," $15,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,"Democracy, Human Rights, and Governance",Civil Society," $10,500,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Economic Opportunity," $4,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,"Democracy, Human Rights, and Governance",Good Governance," $15,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Infrastructure," $30,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Health,Maternal and Child Health," $4,800,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Program Management,Monitoring and Evaluation," $10,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Health,Other Public Health Threats," $7,200,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,500,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $8,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Education and Social Services,Social Assistance," $33,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Trade and Investment," $20,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Peace and Security,Transnational Crime," $5,000,000.00 "
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,Health,Water Supply and Sanitation," $15,000,000.00 "
2008,FY 2008 Second Supp,Food for Peace Title II,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Humanitarian Assistance,"Protection, Assistance and Solutions"," $350,000,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Belize,Peace and Security,Stabilization Operations and Security Sector Reform," $737,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Costa Rica,Peace and Security,Counter-Narcotics," $1,975,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Costa Rica,Peace and Security,Stabilization Operations and Security Sector Reform," $681,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,El Salvador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $2,100,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,El Salvador,Peace and Security,Stabilization Operations and Security Sector Reform," $1,042,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,El Salvador,Peace and Security,Transnational Crime," $2,767,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Guatemala,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $850,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Guatemala,Peace and Security,Stabilization Operations and Security Sector Reform," $2,631,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Guatemala,Peace and Security,Transnational Crime," $4,767,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Honduras,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $750,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Honduras,Peace and Security,Stabilization Operations and Security Sector Reform," $1,862,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Honduras,Peace and Security,Transnational Crime," $4,767,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Iraq,"Democracy, Human Rights, and Governance",Good Governance," $7,100,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Iraq,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $151,900,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Mexico,Peace and Security,Counter-Narcotics," $380,262,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Mexico,"Democracy, Human Rights, and Governance",Good Governance," $7,471,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Mexico,Program Management,Monitoring and Evaluation," $37,000,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Mexico,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $68,267,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Mexico,Peace and Security,Transnational Crime," $7,000,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Nicaragua,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $300,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Nicaragua,Peace and Security,Stabilization Operations and Security Sector Reform," $1,652,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Panama,Peace and Security,Stabilization Operations and Security Sector Reform," $2,332,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,West Bank and Gaza,Peace and Security,Stabilization Operations and Security Sector Reform," $25,000,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Western Hemisphere Regional Office (DOS),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $3,713,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Western Hemisphere Regional Office (DOS),Peace and Security,Stabilization Operations and Security Sector Reform," $16,822,000.00 "
2008,FY 2008 Second Supp,International Narcotics Control and Law Enforcement,DOS and USAID,Western Hemisphere Regional Office (DOS),Peace and Security,Transnational Crime," $252,000.00 "
2008,FY 2008 Second Supp,Migration and Refugee Assistance,DOS and USAID,"Bureau of Population, Refugees, and Migration (DOS)",Humanitarian Assistance,"Protection, Assistance and Solutions"," $30,000,000.00 "
2008,FY 2008 Second Supp,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Afghanistan,Peace and Security,Counterterrorism," $5,000,000.00 "
2008,FY 2008 Second Supp,USAID Administrative Expense,DOS and USAID,USAID Operating Expense,Program Management,Monitoring and Evaluation," $41,000,000.00 "
2009,FY 2009 Actual Base,N/A,IAF,Worldwide,Multi-Sector,Multi-Sector - Unspecified," $27,982,190.00 "
2009,FY 2009 Actual Base,N/A,MCC,N/A,,," $875,000,000.00 "
2009,FY 2009 Actual Base,N/A,USADF,Africa Region,Economic Development,Economic Development - General," $32,500,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Economic Development,Agriculture," $1,150,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Civil Society," $794,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Health,Family Planning and Reproductive Health," $750,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Economic Development,Financial Sector," $1,000,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Good Governance," $3,070,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Economic Development,Infrastructure," $500,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Health,Maternal and Child Health," $950,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Health,Other Public Health Threats," $800,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Economic Development,Private Sector Competitiveness," $2,450,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $2,877,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Peace and Security,Stabilization Operations and Security Sector Reform," $3,369,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Economic Development,Trade and Investment," $700,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Peace and Security,Transnational Crime," $500,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Agriculture," $5,500,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,"Democracy, Human Rights, and Governance",Civil Society," $6,550,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $4,199,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Peace and Security,Conflict Mitigation and Reconciliation," $2,700,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Family Planning and Reproductive Health," $1,000,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Financial Sector," $2,200,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,"Democracy, Human Rights, and Governance",Good Governance," $3,000,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Infrastructure," $3,185,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Macroeconomic Foundation for Growth," $800,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Maternal and Child Health," $2,300,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Other Public Health Threats," $400,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $700,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Private Sector Competitiveness," $1,691,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,500,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $2,607,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Education and Social Services,Social Assistance," $1,200,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Education and Social Services,"Social Policies, Regulations, and Systems"," $990,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Education and Social Services,Social Services," $1,100,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Peace and Security,Stabilization Operations and Security Sector Reform," $1,302,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Trade and Investment," $3,259,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Peace and Security,Transnational Crime," $417,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Tuberculosis," $200,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Water Supply and Sanitation," $1,200,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Agriculture," $1,180,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,"Democracy, Human Rights, and Governance",Civil Society," $5,065,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $240,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Health,Family Planning and Reproductive Health," $750,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Financial Sector," $2,105,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,"Democracy, Human Rights, and Governance",Good Governance," $1,510,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Infrastructure," $600,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Macroeconomic Foundation for Growth," $1,185,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Health,Other Public Health Threats," $1,120,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,685,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Private Sector Competitiveness," $678,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $650,000.00 "
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $1,752,000.00 "
