FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2010,3,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Joint Eurasia Regional,Eurasia Region,Health,Maternal and Child Health," $2,380.00 ",2380,2380
2012,4,Obligations,Development Assistance,usaid,Seychelles,Seychelles,Education and Social Services,Social Assistance," $(13,394.79)",-13394.79,-13394.79
2012,,Disbursements,N/A,IAF,El Salvador,El Salvador,,Health - General," $163,365.00 ",163365,163365
2013,2,Obligations,Economic Support Fund,usaid,Nepal,Nepal,"Democracy, Human Rights, and Governance",Good Governance," $1,236,346.00 ",1236346,1236346
2010,4,Obgl.,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eastern European Region,Program Management,Monitoring and Evaluation," $290,115.00 ",290115,290115
2011,2,Obligations,Operating Expenses,usaid,Zimbabwe,Worldwide,Program Management,Direct Administrative Costs," $905,625.49 ",905625.49,905625.49
2009,4,Disbursements,Economic Support Fund, USAID,India,India,Education and Social Services,Basic Education," $250,557.00 ",250557,250557
2013,2,Disbursements,Economic Support Fund,usaid,Iraq,Iraq,Economic Development,Private Sector Competitiveness," $9,252,216.12 ",9252216.119999999,9252216.119999999
2013,3,Disbursements,N/A,usaid,Zambia,Zambia,Economic Development,Trade and Investment," $1,035,584.82 ",1035584.82,1035584.82
2012,40,Obligations,N/A,MCC,El Salvador,El Salvador,multi-sector,Multi-Sector - Unspecified," $822,885.56 ",822885.5600000001,822885.5600000001
2012,4,Disbursements,Development Assistance,usaid,Ghana,Ghana,Program Management,Direct Administrative Costs," $437,648.86 ",437648.86,437648.86
2013,2,Obligations,N/A,usaid,El Salvador,El Salvador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $3,443,998.00 ",3443998,3443998
2011,1,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Madagascar,Humanitarian Assistance,"Protection, Assistance and Solutions"," $2,000,000.00 ",2000000,2000000
2008,3,Obligations,N/A,MCC,El Salvador,El Salvador,multi-sector,Multi-Sector - Unspecified," $(23,647,298.94)",-23647298.94,-23647298.94
2012,2,Disbursements,Economic Support Fund,usaid,Colombia,Colombia,"Democracy, Human Rights, and Governance",Civil Society," $74,382.41 ",74382.41,74382.41
2009,2,Disbursements,Economic Support Fund, USAID,Colombia,Colombia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $290,127.50 ",290127.5,290127.5
2013,4,Disbursements,N/A,U.S.A.I.D,Turkmenistan,Turkmenistan,Health,Family Planning and Reproductive Health," $5,902.19 ",5902.19,5902.19
2013,1,Obligations,Assist. For N.I.S Of Former Soviet Union,usaid,Eurasia Region,Eurasia Region,Program Management,Direct Administrative Costs," $(10,661.96)",-10661.96,-10661.96
2011,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Angola,Angola,Health,Family Planning and Reproductive Health," $3,223,371.43 ",3223371.43,3223371.43
2010,3,Disbsmnt.,Economic Support Fund,usaid,Indonesia,Indonesia,ENVIRONMENT,Natural Resources and Biodiversity," $52,554.00 ",52554,52554
2011,3,Disbursements,Economic Support Fund,usaid,USAID Middle East Regional,Egypt,Peace and Security,Counterterrorism," $81,094.13 ",81094.13000000001,81094.13000000001
2012,3,Disbursements,Economic Support Fund,usaid,Nicaragua,Nicaragua,"Democracy, Human Rights, and Governance",Good Governance," $293,253.64 ",293253.64,293253.64
2013,3,Disbursements,N/A,usaid,USAID Middle East Regional,USAID Middle East Regional,Peace and Security,Counterterrorism," $1,230.49 ",1230.49,1230.49
2011,4,Disbursements,Development Assistance,usaid,USAID Operating Expense,East Asia Region,Economic Development,Agriculture," $12,920.82 ",12920.82,12920.82
2010,,Disbsmnt.,N/A,USADF,Benin,Benin,,Trade and Investment," $75,813.54 ",75813.53999999999,75813.53999999999
2009,4,Obligations,Transition Initiatives, USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Pakistan,Program Management,Direct Administrative Costs," $362,559.00 ",362559,362559
2014,1,Disbursements,N/A,MCC,Morocco,Morocco,Education and Social Services,Social Assistance," $68,206,185.40 ",68206185.40000001,68206185.40000001
2010,2,Disbsmnt.,Economic Support Fund,usaid,Iraq,Iraq,Program Management,Monitoring and Evaluation," $1,421,896.64 ",1421896.64,1421896.64
2013,2,Disbursements,Economic Support Fund,usaid,Lebanon,Lebanon,"Democracy, Human Rights, and Governance",Good Governance," $568,995.17 ",568995.17,568995.17
2012,3,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Peru,Humanitarian Assistance,Disaster Readiness," $42,805.60 ",42805.6,42805.6
2012,2,Disbursements,Development Assistance,usaid,Burundi,Burundi,Program Management,Monitoring and Evaluation," $4,843.08 ",4843.08,4843.08
2012,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eastern European Region,Program Management,Direct Administrative Costs," $320,312.29 ",320312.29,320312.29
2012,4,Disbursements,Economic Support Fund,usaid,El Salvador,El Salvador,Program Management,Monitoring and Evaluation," $28,847.00 ",28847,28847
2012,3,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Program Management,Monitoring and Evaluation," $150,000.00 ",150000,150000
2010,2,Obgl.,Assist. For N.I.S Of Former Soviet Union,usaid,Georgia,Georgia,Program Management,Direct Administrative Costs," $11,727.37 ",11727.37,11727.37
2010,3,Disbsmnt.,Development Assistance,usaid,Tanzania,Tanzania,Education and Social Services,Social Assistance," $22,787.61 ",22787.61,22787.61
2010,3,Disbsmnt.,Development Assistance,usaid,USAID Southern Africa Regional,South Africa Region,Program Management,Monitoring and Evaluation," $8,667.04 ",8667.040000000001,8667.040000000001
2013,2,Obligations,Global Health & Child Survival,usaid,Nigeria,Nigeria,Program Management,Monitoring and Evaluation," $425,000.00 ",425000,425000
2013,1,Disbursements,N/A,usaid,West Africa Region,West Africa Region,ENVIRONMENT,Natural Resources and Biodiversity," $866,395.25 ",866395.25,866395.25
2013,3,Obligations,Global Health & Child Survival,usaid,Thailand,Thailand,Program Management,Direct Administrative Costs," $(8,441.58)",-8441.58,-8441.58
2013,1,Disbursements,Economic Support Fund,usaid,Paraguay,Paraguay,"Democracy, Human Rights, and Governance",Good Governance," $3,196.43 ",3196.43,3196.43
2013,2,Obligations,Transition Initiatives,usaid,Cote d'Ivoire,Cote d'Ivoire,Program Management,Direct Administrative Costs," $109,914.53 ",109914.53,109914.53
2013,4,Disbursements,Economic Support Fund,usaid,El Salvador,El Salvador,Humanitarian Assistance,"Protection, Assistance and Solutions"," $507,740.47 ",507740.47,507740.47
2010,3,Disbsmnt.,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Dominican Republic,Humanitarian Assistance,"Protection, Assistance and Solutions"," $11,715.00 ",11715,11715
2014,2,Disbursements,International Disaster Assistance,usaid,Laos,Laos,Humanitarian Assistance,Disaster Readiness," $160,126.31 ",160126.31,160126.31
2011,4,Obligations,Development Assistance,usaid,USAID Central America Regional,Central American Region,ENVIRONMENT,Clean Productive Environment," $3,446,000.00 ",3446000,3446000
2009,1,Obligations,Development Assistance, USAID,Angola,Angola,Economic Development,Agriculture," $1,466.50 ",1466.5,1466.5
2012,3,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Yemen,Program Management,Direct Administrative Costs," $5,447.00 ",5447,5447
2014,2,Disbursements,N/A,usaid,Indonesia,Indonesia,Program Management,Direct Administrative Costs," $926,588.70 ",926588.7,926588.7
2014,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Worldwide,Worldwide,Health,Pandemic Influenza and Other Emerging Threats ," $24,077,906.79 ",24077906.79,24077906.79
2014,2,Obligations,N/A,usaid,Kyrgyz Republic,Kyrgyz Republic,Program Management,Monitoring and Evaluation," $2,236.00 ",2236,2236
2011,1,Disbursements,Operating Expenses,usaid,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs," $3,921,610.51 ",3921610.51,3921610.51
2013,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Ukraine,Ukraine,Health,HIV/AIDS," $1,216,520.10 ",1216520.1,1216520.1
20014,0,Disbursements,N/A,DoD,Barbadas,Barbadas,Humanitarian Assistance,"Protection, Assistance and Solutions"," $8,927.65 ",8927.65,8927.65
2013,3,Disbursements,Commodity Credit Corp Title II and III,usaid,South Sudan,South Sudan,ENVIRONMENT,Environment," $315,523.43 ",315523.43,315523.43
2012,2,Obligations,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",West Bank and Gaza,Program Management,Direct Administrative Costs," $(4,113.82)",-4113.82,-4113.82
2012,2,Disbursements,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,Program Management,Direct Administrative Costs," $48,723.91 ",48723.91,48723.91
2012,3,Disbursements,Economic Support Fund,usaid,Kenya,Kenya,Program Management,Direct Administrative Costs," $147,581.27 ",147581.27,147581.27
2010,40,Disbsmnt.,N/A,MCC,Ghana,Ghana,multi-sector,Multi-Sector - Unspecified," $647,051.96 ",647051.96,647051.96
2009,1,Obligations,Special Assistance Initiatives, USAID,USAID Operating Expense,Worldwide,Economic Development,Agriculture, $375.76 ,375.76,375.76
2013,1,Obligations,Economic Support Fund,usaid,Burma,Burma,Education and Social Services,Basic Education," $1,784,000.00 ",1784000,1784000
2013,2,Disbursements,N/A,U.S.A.I.D,Peru,Peru,Health,Water Supply and Sanitation," $124,368.00 ",124368,124368
2010,4,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Latin America and Caribbean Region,Program Management,Direct Administrative Costs, $567.90 ,567.9,567.9
2010,1,Obgl.,Economic Support Fund,usaid,Cyprus,Cyprus,Peace and Security,Conflict Mitigation and Reconciliation," $2,049,213.00 ",2049213,2049213
2012,1,Obligations,Development Assistance,usaid,USAID Latin America and Caribbean Regional,Colombia,ENVIRONMENT,Natural Resources and Biodiversity," $(12,804.04)",-12804.04,-12804.04
2013,4,Obligations,N/A,Department of Stata,Tanzania,Tanzania,,HIV/AIDS," $887,535.85 ",887535.85,887535.85
2012,3,Obligations,Economic Support Fund,usaid,Pakistan,Pakistan,Econ. Dev.,Infrastructure," $340,115.00 ",340115,340115
2010,3,Obgl.,Special Assistance Initiatives,usaid,Kosovo,Kosovo,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $(1,941.83)",-1941.83,-1941.83
2012,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Russia,Russia,"Democracy, Human Rights, and Governance",Good Governance," $3,310,656.00 ",3310656,3310656
2013,3,Disbursements,Special Assistance Initiatives,usaid,Eurasia Region,Eurasia Region,"Democracy, Human Rights, and Governance",Civil Society," $207,493.47 ",207493.47,207493.47
2012,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Armenia,Armenia,Program Management,Monitoring and Evaluation," $21,340.42 ",21340.42,21340.42
2009,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,El Salvador,El Salvador,Health,Maternal and Child Health," $740,163.12 ",740163.12,740163.12
2012,3,Disbursements,Development Assistance,usaid,South Africa,South Africa,Peace and Security,Conflict Mitigation and Reconciliation," $336,279.20 ",336279.2,336279.2
2010,1,Disbsmnt.,Development Assistance,usaid,Senegal,Senegal,Program Management,Monitoring and Evaluation," $207,078.00 ",207078,207078
2009,4,Obligations,Global Health & Child Survival, USAID,Zambia,Zambia,Program Management,Monitoring and Evaluation," $300,000.00 ",300000,300000
2009,3,Obligations,Development Assistance, USAID,USAID Office of Development Partners,Worldwide,Economic Development,Infrastructure," $59,530.77 ",59530.77,59530.77
2014,1,Obligations,N/A,PEACE CORPS,Benin,Benin,,Economic Development - General," $113,562.84 ",113562.84,113562.84
2009,3,Disbursements,N/A,MCC,Cape Verde,Cape Verde,Economic Development,Financial Sector," $108,500.00 ",108500,108500
2012,3,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Uganda,Health,Pandemic Influenza and Other Emerging Threats , $(454.87),-454.87,-454.87
2010,3,Disbsmnt.,Economic Support Fund,usaid,"USAID Economic Growth, Education and Environment",India,Economic Development,Infrastructure," $384,269.91 ",384269.91,384269.91
2009,2,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID,Joint Eurasia Regional,Eurasia Region,Economic Development,Private Sector Competitiveness," $582,900.38 ",582900.38,582900.38
2010,4,Obgl.,Global Health & Child Survival,usaid,Mali,Mali,Program Management,Monitoring and Evaluation," $270,000.00 ",270000,270000
2010,2,Disbsmnt.,Special Assistance Initiatives,usaid,Macedonia,Macedonia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $9,176.62 ",9176.620000000001,9176.620000000001
2009,1,Disbursements,Development Assistance, USAID,Angola,Angola,Program Management,Monitoring and Evaluation," $2,841.44 ",2841.44,2841.44
2011,2,Obligations,Assist. For N.I.S Of Former Soviet Union,usaid,Moldova,Moldova,DRG,Civil Society," $(4,342.55)",-4342.55,-4342.55
2011,1,Obligations,Operating Expenses,usaid,Bangladesh,Worldwide,Program Management,Direct Administrative Costs," $884,882.74 ",884882.74,884882.74
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia", USAID,Macedonia,Macedonia,Program Management,Monitoring and Evaluation," $125,385.65 ",125385.65,125385.65
2010,4,Obgl.,Development Assistance,usaid,USAID Southern Africa Regional,South Africa Region,Economic Development,Financial Sector," $500,000.00 ",500000,500000
2011,2,Disbursements,Economic Support Fund,U.S.A.I.D,Somalia,Somalia,Health,Water Supply and Sanitation," $94,050.89 ",94050.89,94050.89
2010,2,Disbsmnt.,Millennium Challenge Corporation,usaid,Guyana,Guyana,Economic Development,Macroeconomic Foundation for Growth," $528,474.74 ",528474.74,528474.74
2012,2,Obligations,Global Health & Child Survival,usaid,Ethiopia,Ethiopia,Program Management,Monitoring and Evaluation," $554,564.00 ",554564,554564
2013,3,Disbursements,Millennium Challenge Corporation,usaid,Liberia,Liberia,Education and Social Services,Basic Education," $374,778.93 ",374778.93,374778.93
2012,1,Disbursements,Economic Support Fund,usaid,Uganda,Uganda,Econ. Dev.,Infrastructure," $16,821,575.46 ",16821575.46,16821575.46
2011,1,Disbursements,Economic Support Fund,usaid,Near East Regional,Near East Region,DRG,Political Competition and Consensus-Building," $314,931.83 ",314931.83,314931.83
2009,4,Disbursements,Economic Support Fund, USAID,Nepal,Nepal,Economic Development,Agriculture," $13,730.96 ",13730.96,13730.96
2013,2,Obligations,Economic Support Fund,usaid,Indonesia,Indonesia,Peace and Security,Conflict Mitigation and Reconciliation," $(11,135.98)",-11135.98,-11135.98
2011,2,Disbursements,Development Assistance,usaid,Mozambique,Mozambique,DRG,Civil Society," $7,553.43 ",7553.43,7553.43
2012,2,Disbursements,Child Survival and Health Programs Fund,usaid,Cambodia,Cambodia,Program Management,Monitoring and Evaluation, $51.00 ,51,51
2009,3,Disbursements,Development Assistance, USAID,USAID Operating Expense,Worldwide,Economic Development,Trade and Investment, $372.18 ,372.18,372.18
2012,3,Obligations,N/A,MCC,Indonesia,Indonesia,Program Management,Direct Administrative Costs," $(58,900.04)",-58900.04,-58900.04
2014,2,Disbursements,N/A,usaid,Benin,Benin,Program Management,Direct Administrative Costs," $31,826.72 ",31826.72,31826.72
2013,2,Obligations,International Disaster Assistance,usaid,Colombia,Colombia,Program Management,Direct Administrative Costs," $(17,200.00)",-17200,-17200
2013,4,Disbursements,N/A,usaid,East Asia Region,East Asia Region,ENVIRONMENT,Clean Productive Environment," $1,859,236.55 ",1859236.55,1859236.55
2009,4,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID South America Regional,Peru,Health,Malaria," $2,460,000.00 ",2460000,2460000
2010,2,Disbsmnt.,Development Assistance,usaid,Cambodia,Cambodia,Economic Development,Economic Opportunity," $1,340,895.58 ",1340895.58,1340895.58
20014,0,Disbursements,N/A,DoD,Sweden,Sweden,Peace and Security,Counterterrorism," $5,736.00 ",5736,5736
2011,3,Disbursements,Development Assistance,usaid,USAID Office of Development Partners,Worldwide,Economic Development,Infrastructure," $526,817.02 ",526817.02,526817.02
2010,,Disbsmnt.,N/A,USADF,Nigeria,Nigeria,,Economic Opportunity," $20,747.32 ",20747.32,20747.32
2011,4,Disbursements,Development Assistance,U.S.A.I.D,USAID Middle East Regional,South Asia Region,Health,Water Supply and Sanitation," $372,799.93 ",372799.93,372799.93
2012,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Armenia,Armenia,Health,Maternal and Child Health," $360,755.04 ",360755.04,360755.04
2011,3,Disbursements,Operating Expenses,usaid,USAID Middle East Regional,Worldwide,Program Management,Direct Administrative Costs," $1,255,420.70 ",1255420.7,1255420.7
2012,4,Disbursements,Development Assistance,usaid,Ethiopia,Ethiopia,Econ. Dev.,Agriculture," $6,142,483.27 ",6142483.27,6142483.27
2012,4,Disbursements,Economic Support Fund,U.S.A.I.D,Pakistan,Pakistan,Health,Maternal and Child Health," $5,254,195.92 ",5254195.92,5254195.92
2009,4,Obligations,Economic Support Fund, USAID,Colombia,Colombia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,349,938.00 ",1349938,1349938
2012,3,Disbursements,Global HIV/AIDS Initiative,U.S.A.I.D,Cote d'Ivoire,Cote d'Ivoire,Health,HIV/AIDS," $165,553.52 ",165553.52,165553.52
2011,3,Obligations,Operating Expenses,usaid,Joint Eurasia Regional,Worldwide,Program Management,Direct Administrative Costs," $4,393,745.77 ",4393745.77,4393745.77
2010,3,Obgl.,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Economic Development,Agriculture," $1,520,000.00 ",1520000,1520000
2012,3,Obligations,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education and Social Services,Social Services," $1,335,238.00 ",1335238,1335238
2010,1,Disbsmnt.,N/A,PEACE CORPS,Dominican Republic,Dominican Republic,,Environment - General," $653,541.33 ",653541.33,653541.33
2013,1,Obligations,N/A,PEACE CORPS,Benin,Benin,,Multi-Sector - Unspecified," $94,416.28 ",94416.28,94416.28
2012,3,Disbursements,N/A,MCC,El Salvador,El Salvador,multi-sector,Multi-Sector - Unspecified," $353,188.30 ",353188.3,353188.3
2010,,Disbsmnt.,N/A,IAF,Honduras,Honduras,,Social Services," $275,276.00 ",275276,275276
2009,3,Disbursements,Development Assistance, USAID,Nigeria,Nigeria,Economic Development,Trade and Investment," $291,553.69 ",291553.69,291553.69
2010,,Obgl.,N/A,IAF,Ecuador,Ecuador,,Civil Society," $98,250.00 ",98250,98250
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,USAID Central Asia Regional,Central Asia Region,Econ. Dev.,Trade and Investment," $27,591.08 ",27591.08,27591.08
2011,2,Disbursements,N/A,usaid,Ethiopia,Ethiopia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $28,445,300.00 ",28445300,28445300
2014,2,Disbursements,Economic Support Fund,usaid,East Asia Region,East Asia Region,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $160,535.53 ",160535.53,160535.53
2013,1,Obligations,N/A,usaid,Bangladesh,Bangladesh,Economic Development,Agriculture," $5,202,346.47 ",5202346.47,5202346.47
2010,1,Disbsmnt.,Development Assistance,usaid,Zambia,Zambia,Education and Social Services,Social Assistance," $15,809.25 ",15809.25,15809.25
2012,4,Disbursements,Operating Expenses,usaid,El Salvador,Worldwide,Program Management,Direct Administrative Costs," $2,201,651.47 ",2201651.47,2201651.47
2014,2,Disbursements,N/A,usaid,Armenia,Armenia,Economic Development,Financial Sector," $271,405.74 ",271405.74,271405.74
2011,2,Disbursements,Economic Support Fund,usaid,Jordan,Jordan,ENVIRONMENT,Clean Productive Environment," $1,291,937.95 ",1291937.95,1291937.95
2009,4,Disbursements,Economic Support Fund,U.S.A.I.D,Egypt,Egypt,Health,Maternal and Child Health," $817,586.19 ",817586.1899999999,817586.1899999999
2009,2,Disbursements,Development Assistance, USAID,Kenya,Kenya,ENVIRONMENT,Clean Productive Environment," $137,064.72 ",137064.72,137064.72
2014,2,Disbursements,Global Health & Child Survival,usaid,Mali,Mali,Program Management,Direct Administrative Costs," $346,720.71 ",346720.71,346720.71
2012,1,Disbursements,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Paraguay,Education and Social Services,Social Services," $34,847.79 ",34847.79,34847.79
2011,3,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Guinea,Guinea,Health,HIV/AIDS," $7,561.61 ",7561.61,7561.61
2011,4,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,Nicaragua,Nicaragua,Health,Maternal and Child Health," $80,000.00 ",80000,80000
2011,3,Disbursements,Development Assistance,usaid,South Africa,South Africa,Economic Development,Agriculture, $687.24 ,687.24,687.24
2009,1,Disbursements,Special Assistance Initiatives, USAID,Serbia,Serbia,Economic Development,Private Sector Competitiveness," $3,005,826.93 ",3005826.93,3005826.93
2010,2,Obgl.,Development Assistance,usaid,USAID Office of Development Partners,Worldwide,Program Management,Direct Administrative Costs," $410,854.63 ",410854.63,410854.63
20014,0,Obligations,N/A,DoD,Tunisia,Tunisia,Peace and Security,Counterterrorism," $20,900,000.00 ",20900000,20900000
2013,1,Disbursements,N/A,usaid,Ethiopia,Ethiopia,Program Management,Direct Administrative Costs," $420,616.06 ",420616.06,420616.06
2012,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Armenia,Armenia,Education and Social Services,"Social Policies, Regulations, and Systems"," $635,201.64 ",635201.64,635201.64
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID,Uzbekistan,Uzbekistan,Program Management,Direct Administrative Costs," $265,540.01 ",265540.01,265540.01
2011,1,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Program Management,Direct Administrative Costs," $8,377.03 ",8377.030000000001,8377.030000000001
2014,2,Obligations,Global Health & Child Survival,U.S.A.I.D,Kenya,Kenya,Health,Nutrition," $2,100,000.00 ",2100000,2100000
2011,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Botswana,Botswana,Health,HIV/AIDS," $3,333,721.67 ",3333721.67,3333721.67
2009,2,Disbursements,International Disaster Assistance, USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Lebanon,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(80,183.44)",-80183.44,-80183.44
2010,3,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Yemen,Yemen,Health,Maternal and Child Health," $(455,095.20)",-455095.2,-455095.2
2010,2,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa,Program Management,Direct Administrative Costs," $25,409.84 ",25409.84,25409.84
2009,3,Disbursements,N/A,MCC,Ghana,Ghana,Program Management,Direct Administrative Costs," $1,393,253.06 ",1393253.06,1393253.06
2009,1,Disbursements,Development Assistance,U.S.A.I.D,Tanzania,Tanzania,Health,Water Supply and Sanitation," $2,265.21 ",2265.21,2265.21
2009,3,Disbursements,Global Health & Child Survival, USAID,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation," $176,560.00 ",176560,176560
2009,3,Obligations,Development Assistance, USAID,Timor-Leste,Timor-Leste,Economic Development,Private Sector Competitiveness," $572,575.89 ",572575.89,572575.89
2010,4,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Tanzania,Tanzania,Health,Maternal and Child Health," $1,116,154.72 ",1116154.72,1116154.72
2012,1,Disbursements,Development Assistance,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Program Management,Monitoring and Evaluation," $182,807.05 ",182807.05,182807.05
2009,2,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Madagascar,Madagascar,Health,Family Planning and Reproductive Health," $517,363.16 ",517363.16,517363.16
2010,1,Disbsmnt.,Development Assistance,usaid,Zimbabwe,Zimbabwe,Education and Social Services,Social Assistance," $9,998.00 ",9998,9998
2010,1,Disbsmnt.,Development Assistance,U.S.A.I.D,USAID Africa Regional,Africa Region,Health,Water Supply and Sanitation," $963,270.81 ",963270.8100000001,963270.8100000001
2009,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Papua New Guinea,East Asia Region,Health,HIV/AIDS," $20,688.42 ",20688.42,20688.42
2010,1,Disbsmnt.,Economic Support Fund,usaid,Lebanon,Lebanon,Education and Social Services,Higher Education," $56,802.46 ",56802.46,56802.46
2010,3,Disbsmnt.,Economic Support Fund,usaid,Panama,Panama,Program Management,Direct Administrative Costs," $25,656.82 ",25656.82,25656.82
2013,2,Disbursements,Democracy Fund,usaid,Sudan,Sudan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $51,300.00 ",51300,51300
2009,2,Disbursements,Economic Support Fund, USAID,Yemen,Yemen,Education and Social Services,Basic Education," $1,005,818.16 ",1005818.16,1005818.16
2011,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Laos,Health,Pandemic Influenza and Other Emerging Threats ," $37,362.71 ",37362.71,37362.71
2009,3,Disbursements,Global Health & Child Survival, USAID,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $64,436.73 ",64436.73,64436.73
2010,1,Disbsmnt.,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Direct Administrative Costs," $99,045.75 ",99045.75,99045.75
2009,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Senegal,Senegal,Health,Family Planning and Reproductive Health," $897,812.60 ",897812.6,897812.6
2011,2,Obligations,N/A,MCC,Benin,Benin,Economic Development,Infrastructure," $14,341,176.00 ",14341176,14341176
2011,4,Disbursements,Development Assistance,usaid,USAID Office of Development Partners,Worldwide,Economic Development,Private Sector Competitiveness," $425,779.30 ",425779.3,425779.3
2009,2,Disbursements,Economic Support Fund, USAID,Pakistan,Pakistan,Economic Development,Private Sector Competitiveness," $6,549,314.90 ",6549314.9,6549314.9
2010,4,Obgl.,Development Assistance,usaid,Panama,Panama,ENVIRONMENT,Clean Productive Environment," $1,800,000.00 ",1800000,1800000
2013,1,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Kenya,Kenya,Health,Maternal and Child Health," $58,457.08 ",58457.08,58457.08
2013,4,Disbursements,Economic Support Fund,usaid,West Bank and Gaza,West Bank and Gaza,Economic Development,Macroeconomic Foundation for Growth," $372,246.55 ",372246.55,372246.55
2010,4,Disbsmnt.,Economic Support Fund,usaid,Timor-Leste,Timor-Leste,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $54,962.64 ",54962.64,54962.64
2013,4,Obligations,Economic Support Fund,usaid,USAID Middle East Regional,USAID Middle East Regional,"Democracy, Human Rights, and Governance",Good Governance," $1,500,000.00 ",1500000,1500000
2012,3,Obligations,N/A,MCC,Ghana,Ghana,Econ. Dev.,Infrastructure," $2,263,629.63 ",2263629.63,2263629.63
2012,3,Disbursements,Development Assistance,U.S.A.I.D,Malawi,Malawi,Health,Water Supply and Sanitation," $64,456.66 ",64456.66,64456.66
2012,4,Obligations,Economic Support Fund,usaid,Sierra Leone,Sierra Leone,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $600,000.00 ",600000,600000
2009,3,Disbursements,Economic Support Fund, USAID,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Civil Society," $307,073.43 ",307073.43,307073.43
2011,2,Obligations,Special Assistance Initiatives,usaid,USAID Operating Expense,Worldwide,Peace and Security,Conflict Mitigation and Reconciliation, $19.21 ,19.21,19.21
